# Time (s),Motor mass (g),Thrust (N),Drag coefficient (​),Air temperature (K),Air pressure (Pa)
0.01,149.997,0.187,0.6,288.15,1.013e5
0.02,149.992,0.718,0.6,288.15,1.013e5
0.03,149.987,1.279,0.6,288.15,1.013e5
0.04,149.97,2.704,0.6,288.15,1.013e5
0.05,149.911,6.279,0.6,288.15,1.013e5
0.06,149.835,10.977,0.6,288.15,1.013e5
0.07,149.758,15.742,0.6,288.15,1.013e5
0.08,149.671,20.417,0.6,288.15,1.013e5
0.09,149.542,22.137,0.6,288.15,1.013e5
0.1,149.413,22.424,0.541,288.15,1.013e5
0.11,149.284,22.711,0.504,288.15,1.013e5
0.12,149.155,22.998,0.478,288.15,1.013e5
0.13,149.025,23.284,0.457,288.15,1.013e5
0.14,148.896,23.571,0.442,288.15,1.013e5
0.15,148.767,23.858,0.428,288.15,1.013e5
0.16,148.62,24.118,0.417,288.15,1.013e5
0.17,148.474,24.352,0.408,288.15,1.013e5
0.18,148.327,24.586,0.4,288.15,1.013e5
0.19,148.18,24.82,0.392,288.15,1.013e5
0.2,148.033,25.054,0.386,288.149,1.013e5
0.21,147.886,25.288,0.38,288.149,1.013e5
0.22,147.74,25.522,0.374,288.149,1.013e5
0.23,147.593,25.756,0.37,288.149,1.013e5
0.24,147.446,25.99,0.365,288.149,1.013e5
0.25,147.299,26.223,0.361,288.149,1.013e5
0.26,147.153,26.457,0.357,288.149,1.013e5
0.27,147.006,26.691,0.353,288.149,1.013e5
0.28,146.859,26.925,0.35,288.148,1.013e5
0.29,146.712,27.159,0.347,288.148,1.013e5
0.3,146.565,27.393,0.344,288.148,1.013e5
0.31,146.419,27.627,0.341,288.148,1.013e5
0.32,146.272,27.861,0.338,288.148,1.013e5
0.33,146.125,28.095,0.336,288.147,1.013e5
0.34,145.959,28.306,0.333,288.147,1.013e5
0.35,145.792,28.494,0.331,288.147,1.013e5
0.36,145.626,28.683,0.329,288.147,1.013e5
0.37,145.459,28.871,0.327,288.147,1.013e5
0.38,145.293,29.06,0.325,288.146,1.013e5
0.39,145.126,29.248,0.323,288.146,1.013e5
0.4,144.96,29.437,0.321,288.146,1.013e5
0.41,144.793,29.625,0.319,288.146,1.013e5
